# vr_quantify.py -- trial=trial2; CPM = count / (all-gene column sum of unscaled salmon.merged.gene_counts.tsv) * 1e6; cluster tier=200kb, supercluster tier=800kb; individual-paralog calls are tentative by construction
sample	tier	cluster_id	family	chrom	n_member_genes	n_member_genes_detected	counts_sum	cpm_sum	share_of_sample_vr	sample_total_vr_counts	sample_total_vr_cpm	is_called	trial	cell_type	n_cells	library_status	qc_overall	sort_verdict	suppress_biology	suppression_reason	interpretation_context	chr7_dual_tier_region
nontarget100cells_S8	cluster	V1R_chr13_cl020	V1R	13	64	1	1.0	0.039967910535212585	0.25	4.0	0.15987164214085034	0	trial2	nontarget	100	OK	USABLE	PASS	False		pooled_ambiguous	0
nontarget100cells_S8	cluster	V1R_chr17_cl021	V1R	17	24	0	0.0	0.0	0.0	4.0	0.15987164214085034	0	trial2	nontarget	100	OK	USABLE	PASS	False		pooled_ambiguous	0
nontarget100cells_S8	cluster	V1R_chr18_cl022	V1R	18	3	0	0.0	0.0	0.0	4.0	0.15987164214085034	0	trial2	nontarget	100	OK	USABLE	PASS	False		pooled_ambiguous	0
nontarget100cells_S8	cluster	V1R_chr1_cl001	V1R	1	1	0	0.0	0.0	0.0	4.0	0.15987164214085034	0	trial2	nontarget	100	OK	USABLE	PASS	False		pooled_ambiguous	0
nontarget100cells_S8	cluster	V1R_chr2_cl002	V1R	2	1	0	0.0	0.0	0.0	4.0	0.15987164214085034	0	trial2	nontarget	100	OK	USABLE	PASS	False		pooled_ambiguous	0
nontarget100cells_S8	cluster	V1R_chr4_cl003	V1R	4	3	0	0.0	0.0	0.0	4.0	0.15987164214085034	0	trial2	nontarget	100	OK	USABLE	PASS	False		pooled_ambiguous	0
nontarget100cells_S8	cluster	V1R_chr5_cl004	V1R	5	1	0	0.0	0.0	0.0	4.0	0.15987164214085034	0	trial2	nontarget	100	OK	USABLE	PASS	False		pooled_ambiguous	0
nontarget100cells_S8	cluster	V1R_chr6_cl005	V1R	6	3	0	0.0	0.0	0.0	4.0	0.15987164214085034	0	trial2	nontarget	100	OK	USABLE	PASS	False		pooled_ambiguous	0
nontarget100cells_S8	cluster	V1R_chr6_cl006	V1R	6	21	0	0.0	0.0	0.0	4.0	0.15987164214085034	0	trial2	nontarget	100	OK	USABLE	PASS	False		pooled_ambiguous	0
nontarget100cells_S8	cluster	V1R_chr6_cl007	V1R	6	21	0	0.0	0.0	0.0	4.0	0.15987164214085034	0	trial2	nontarget	100	OK	USABLE	PASS	False		pooled_ambiguous	0
